Component,Use Case,Source,Threat,Risk response,Inherent Risk,Current Risk,Countermeasure Progress,Weakness Tests,Countermeasure Tests,Projected Risk,Owner
Mobile Device Client,Provide mobile access to services,Created by rules engine,Attackers gain unauthorised access to the application through buffer overflow flaws,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,123 123
Mobile Frontend,General,Created by rules engine,An adversary embeds malicious scripts in content that will be served to web browsers,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,123 123
Mobile Frontend,General,Created by rules engine,Application contains security vulnerabilities not identified during the development process,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,123 123
Mobile Frontend,General,Created by rules engine,Attackers gain unauthorised access to data by compromising third party web resources,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,123 123
Mobile Frontend,General,Created by rules engine,Attackers gain unauthorised access to data or services by accessing a client side secret,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,123 123
Mobile Frontend,General,Created by rules engine,Attackers gain unauthorised access to the application by the use of deprecated client-side technologies,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,123 123
Mobile Frontend,Read or Post data,Created by rules engine,An adversary embeds malicious scripts in content that will be served to web browsers,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,123 123
Mobile Frontend,Read or Post data,Created by rules engine,Attackers could gain access to sensitive data through a man in the middle attack,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,123 123
Mobile Frontend,Read or Post data,Created by rules engine,Privilege Abuse,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,123 123
Mobile Frontend,Transaction Authentication,Created by rules engine,Attackers cause users to peform arbitrary clicks on the site through ClickJacking attacks,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,123 123
Other database,Access service,Created by rules engine,Attackers gain access to unauthorised data by exploiting vulnerabilities in the service,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,123 123
Other database,Access service,Created by rules engine,Authentication Bypass,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,123 123
Other database,Access service,Created by rules engine,Data leakage or disclosure to unauthorized parties,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,123 123
Other database,Authentication,Created by rules engine,Attackers who compromise the application or application server could directly access and modify the data store,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,123 123
Web Client,General,Created by rules engine,An adversary embeds malicious scripts in content that will be served to web browsers,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,123 123
Web Client,General,Created by rules engine,Application contains security vulnerabilities not identified during the development process,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,123 123
Web Client,General,Created by rules engine,Attackers gain unauthorised access to data or services by accessing a client side secret,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,123 123
Web Client,General,Created by rules engine,Attackers gain unauthorised access to the application by the use of deprecated client-side technologies,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,123 123
Web Client,Read or Post data,Created by rules engine,Attackers could gain access to sensitive data through a man in the middle attack,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,123 123
