Component,Use Case,Source,Threat,Risk response,Inherent Risk,Current Risk,Countermeasure Progress,Weakness Tests,Countermeasure Tests,Projected Risk,Owner
Login Service,General,Created by rules engine,Attackers gain access to the sensitive data through injecting code in the repositories,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond
Login Service,General,Created by rules engine,Availability is compromised through attacks against scalability configuration,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond
Login Service,General,Created by rules engine,Sensitive data is compromised by unauthorized access to container volumes,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond
Login Service,Logging and Monitoring,Created by rules engine,Exploitation of insufficient logging and monitoring,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond
Login Service,Networking,Created by rules engine,Sensitive data is compromised through network access,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond
Login Service,Read or Post data,Created by dataflow rules engine,Attackers gain unauthorised access to data and/or systems through SQL Injection attacks,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond
Message Broker,General,Created by rules engine,"An attacker could send malicious push notifications, leading to unauthorized actions, data breaches, or phishing attacks",Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond
Message Broker,General,Created by rules engine,Attackers could gain access to sensitive data through a man in the middle attack,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond
Message Broker,General,Created by rules engine,Attackers gain unauthorised access to data and/or systems through SQL Injection attacks,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond
Message Broker,General,Created by rules engine,Attackers gain unauthorized access to the control of the environment,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond
Message Broker,General,Created by rules engine,Attackers gain unauthorized access to the user account due to the lack of configuration of the account,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond
Message Broker,General,Created by rules engine,Attackers perform a Denial of Service (DoS),Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond
Message Broker,General,Created by rules engine,Data is intentionally or accidentally deleted,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond
Mobile Device Client,General,Created by rules engine,An attacker attempts to invoke all common switches and options to discover weaknesses,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond
Mobile Device Client,General,Created by rules engine,Application contains security vulnerabilities not identified during the development process,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond
Mobile Device Client,General,Created by rules engine,Attacker gains access to sensitive data by modifying the application's expected behavior,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond
Mobile Device Client,General,Created by rules engine,Users lose trust in the application because it requests unnecessary privileges,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond
Mobile Device Client,Provide mobile access to services,Created by rules engine,Accessing Functionality Not Properly Constrained by ACLs,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond
Mobile Device Client,Provide mobile access to services,Created by rules engine,Attackers gain access to the data through the WebView functionality,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond
Mobile Device Client,Provide mobile access to services,Created by rules engine,Attackers gain unauthorised access to the application through an error handling flaw,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond
Mobile Device Client,Provide mobile access to services,Created by rules engine,Attackers gain unauthorised access to the application through buffer overflow flaws,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond
Mobile Frontend,General,Created by rules engine,An adversary embeds malicious scripts in content that will be served to web browsers,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond
Mobile Frontend,General,Created by rules engine,Application contains security vulnerabilities not identified during the development process,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond
Mobile Frontend,General,Created by rules engine,Attackers gain unauthorised access to data by compromising third party web resources,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond
Mobile Frontend,General,Created by rules engine,Attackers gain unauthorised access to data or services by accessing a client side secret,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond
Mobile Frontend,General,Created by rules engine,Attackers gain unauthorised access to the application by the use of deprecated client-side technologies,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond
Mobile Frontend,Read or Post data,Created by rules engine,An adversary embeds malicious scripts in content that will be served to web browsers,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond
Mobile Frontend,Read or Post data,Created by rules engine,Attackers could gain access to sensitive data through a man in the middle attack,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond
Mobile Frontend,Read or Post data,Created by rules engine,Privilege Abuse,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond
Mobile Frontend,Transaction Authentication,Created by rules engine,Attackers cause users to peform arbitrary clicks on the site through ClickJacking attacks,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond
Order DB,Access service,Created by rules engine,Attackers gain access to unauthorised data by exploiting vulnerabilities in the service,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond
Order DB,Access service,Created by rules engine,Authentication Bypass,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond
Order DB,Access service,Created by rules engine,Data leakage or disclosure to unauthorized parties,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond
Order DB,Authentication,Created by rules engine,Attackers who compromise the application or application server could directly access and modify the data store,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond
Order Service,Access sensitive data,Created by rules engine,Sensitive data is exposed through weak security configurations,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond
Order Service,Authentication and Authorization,Created by rules engine,Attackers use known cloud vulnerabilities to access unauthorized data,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond
Order Service,Deployment,Created by rules engine,Excessive Allocation,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond
Order Service,General,Created by rules engine,Attackers compromise images by modifying their content,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond
Order Service,General,Created by rules engine,Attackers gain access to the sensitive data through injecting code in the repositories,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond
Order Service,General,Created by rules engine,Availability is compromised through attacks against scalability configuration,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond
Order Service,General,Created by rules engine,Sensitive data is compromised by unauthorized access to container volumes,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond
Order Service,Logging and Monitoring,Created by rules engine,Exploitation of insufficient logging and monitoring,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond
Order Service,Networking,Created by rules engine,Sensitive data is compromised through network access,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond
Order Service,Read or Post data,Created by dataflow rules engine,Attackers gain unauthorised access to data and/or systems through SQL Injection attacks,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond
Payment DB,Access service,Created by rules engine,Attackers gain access to unauthorised data by exploiting vulnerabilities in the service,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond
Payment DB,Access service,Created by rules engine,Authentication Bypass,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond
Payment DB,Access service,Created by rules engine,Data leakage or disclosure to unauthorized parties,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond
Payment DB,Authentication,Created by rules engine,Attackers who compromise the application or application server could directly access and modify the data store,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond
Payment Service,Access sensitive data,Created by rules engine,Sensitive data is exposed through weak security configurations,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond
Payment Service,Authentication and Authorization,Created by rules engine,Attackers use known cloud vulnerabilities to access unauthorized data,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond
Payment Service,Deployment,Created by rules engine,Excessive Allocation,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond
Payment Service,General,Created by rules engine,Attackers compromise images by modifying their content,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond
Payment Service,General,Created by rules engine,Attackers gain access to the sensitive data through injecting code in the repositories,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond
Payment Service,General,Created by rules engine,Availability is compromised through attacks against scalability configuration,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond
Payment Service,General,Created by rules engine,Sensitive data is compromised by unauthorized access to container volumes,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond
Payment Service,Logging and Monitoring,Created by rules engine,Exploitation of insufficient logging and monitoring,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond
Payment Service,Networking,Created by rules engine,Sensitive data is compromised through network access,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond
Payment Service,Read or Post data,Created by dataflow rules engine,Attackers gain unauthorised access to data and/or systems through SQL Injection attacks,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond
SMS Notifications,Access sensitive data,Created by rules engine,Sensitive data is exposed through weak security configurations,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond
SMS Notifications,Authentication and Authorization,Created by rules engine,Attackers use known cloud vulnerabilities to access unauthorized data,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond
SMS Notifications,Deployment,Created by rules engine,Excessive Allocation,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond
SMS Notifications,General,Created by rules engine,Attackers compromise images by modifying their content,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond
SMS Notifications,General,Created by rules engine,Attackers gain access to the sensitive data through injecting code in the repositories,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond
SMS Notifications,General,Created by rules engine,Availability is compromised through attacks against scalability configuration,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond
SMS Notifications,General,Created by rules engine,Sensitive data is compromised by unauthorized access to container volumes,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond
SMS Notifications,Logging and Monitoring,Created by rules engine,Exploitation of insufficient logging and monitoring,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond
SMS Notifications,Networking,Created by rules engine,Sensitive data is compromised through network access,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond
Web Client,General,Created by rules engine,An adversary embeds malicious scripts in content that will be served to web browsers,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond
Web Client,General,Created by rules engine,Application contains security vulnerabilities not identified during the development process,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond
Web Client,General,Created by rules engine,Attackers gain unauthorised access to data or services by accessing a client side secret,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond
Web Client,General,Created by rules engine,Attackers gain unauthorised access to the application by the use of deprecated client-side technologies,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond
Web Client,Read or Post data,Created by rules engine,Attackers could gain access to sensitive data through a man in the middle attack,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond
